# Source: GeoNames JP dump (https://download.geonames.org/export/dump/JP.zip)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Columns: display_name	lat	lon	feature_code	population	search_terms
Abeta (Mie-ken)	34.6	136.06667	PPL	0	abeta|阿部田|mieken|みえけん|三重|三重县|三重県|三重縣|みえけん阿部田|三重阿部田|三重县阿部田|三重県阿部田|三重縣阿部田
Abeyama (Fukuoka Prefecture)	33.8501	130.90749	PPL	0	abeyama|安部山|fukuokaprefecture|ふくおかけん|福冈县|福岡|福岡県|福岡縣|ふくおかけん安部山|福冈县安部山|福岡安部山|福岡県安部山|福岡縣安部山
Abika (Kanagawa)	35.56861	139.21861	PPL	0	abika|kanagawa|かなかわ|かなかわけん|カナガワ|カナガワケン|神奈川|神奈川县|神奈川県|神奈川縣
Abikimachi (Kumamoto)	32.67039	130.59292	PPL	0	abikimachi|あびきまち|アビキマチ|網引町|kumamoto|くまもと|くまもとけん|クマモト|クマモトケン|熊本|熊本县|熊本県|熊本縣|くまもとあびきまち|くまもとアビキマチ|くまもと網引町|くまもとけんあびきまち|くまもとけんアビキマチ|くまもとけん網引町|クマモトあびきまち|クマモトアビキマチ|クマモト網引町|クマモトケンあびきまち|クマモトケンアビキマチ|クマモトケン網引町|熊本あびきまち|熊本アビキマチ|熊本網引町|熊本县あびきまち|熊本县アビキマチ|熊本县網引町|熊本県あびきまち|熊本県アビキマチ|熊本県網引町|熊本縣あびきまち|熊本縣アビキマチ|熊本縣網引町
Abiko (Chiba-ken)	35.86667	140.01667	PPLA2	131771	abiko|我孫子|我孫子市|chibaken|ちばけん|千叶县|千葉|千葉県|千葉縣|ちばけん我孫子|ちばけん我孫子市|千叶县我孫子|千叶县我孫子市|千葉我孫子|千葉我孫子市|千葉県我孫子|千葉県我孫子市|千葉縣我孫子|千葉縣我孫子市
Abiko (Ōsaka-fu)	34.60029	135.50842	PPLX	0	abiko|我孫子|ōsakafu|osakafu|おおさかふ|大阪|大阪府|おおさかふ我孫子|大阪我孫子|大阪府我孫子
Abiko (Ōsaka-fu)	34.49328	135.41656	PPLX	0	abiko|我孫子|ōsakafu|osakafu|おおさかふ|大阪|大阪府|おおさかふ我孫子|大阪我孫子|大阪府我孫子
Abiko Shi (Chiba-ken)	35.86947	140.0651	ADM2	133665	abikoshi|あびこし|アビコシ|我孫子|我孫子市|chibaken|ちばけん|千叶县|千葉|千葉県|千葉縣|ちばけんあびこし|ちばけんアビコシ|ちばけん我孫子|ちばけん我孫子市|千叶县あびこし|千叶县アビコシ|千叶县我孫子|千叶县我孫子市|千葉あびこし|千葉アビコシ|千葉我孫子|千葉我孫子市|千葉県あびこし|千葉県アビコシ|千葉県我孫子|千葉県我孫子市|千葉縣あびこし|千葉縣アビコシ|千葉縣我孫子|千葉縣我孫子市
Abikohigashi (Ōsaka-fu)	34.59888	135.51095	PPLX	0	abikohigashi|我孫子東|ōsakafu|osakafu|おおさかふ|大阪|大阪府|おおさかふ我孫子東|大阪我孫子東|大阪府我孫子東
Abikonishi (Ōsaka-fu)	34.60425	135.50652	PPLX	0	abikonishi|我孫子西|ōsakafu|osakafu|おおさかふ|大阪|大阪府|おおさかふ我孫子西|大阪我孫子西|大阪府我孫子西
Abira (Hokkaido)	42.81667	141.83333	PPL	8323	abira|安平|安平町|hokkaido|ほっかいどう|ホッカイドウ|北海|北海道|ほっかいどう安平|ほっかいどう安平町|ホッカイドウ安平|ホッカイドウ安平町|北海安平|北海安平町|北海道安平|北海道安平町
Abira Chō (Hokkaido)	42.81358	141.83784	ADM3	8684	abirachō|abiracho|あびらちょう|アビラチョウ|安平町|hokkaido|ほっかいどう|ホッカイドウ|北海|北海道|ほっかいどうあびらちょう|ほっかいどうアビラチョウ|ほっかいどう安平町|ホッカイドウあびらちょう|ホッカイドウアビラチョウ|ホッカイドウ安平町|北海あびらちょう|北海アビラチョウ|北海安平町|北海道あびらちょう|北海道アビラチョウ|北海道安平町
Abire (Tottori)	35.20819	133.19461	PPL	0	abire|阿毘縁|tottori|とっとり|とっとりけん|トットリ|トットリケン|鳥取|鳥取県|鳥取縣|鸟取县|とっとり阿毘縁|とっとりけん阿毘縁|トットリ阿毘縁|トットリケン阿毘縁|鳥取阿毘縁|鳥取県阿毘縁|鳥取縣阿毘縁|鸟取县阿毘縁
Aboshiku-hamada (Hyōgo)	34.77392	134.57659	PPL	0	aboshikuhamada|網干区浜田|hyōgo|hyogo|ひょうご|ひょうごけん|ヒョウゴ|ヒョウゴケン|兵库县|兵庫|兵庫県|兵庫縣|ひょうご網干区浜田|ひょうごけん網干区浜田|ヒョウゴ網干区浜田|ヒョウゴケン網干区浜田|兵库县網干区浜田|兵庫網干区浜田|兵庫県網干区浜田|兵庫縣網干区浜田
Aboshiku-okinohama (Hyōgo)	34.78202	134.58322	PPL	0	aboshikuokinohama|網干区興浜|hyōgo|hyogo|ひょうご|ひょうごけん|ヒョウゴ|ヒョウゴケン|兵库县|兵庫|兵庫県|兵庫縣|ひょうご網干区興浜|ひょうごけん網干区興浜|ヒョウゴ網干区興浜|ヒョウゴケン網干区興浜|兵库县網干区興浜|兵庫網干区興浜|兵庫県網干区興浜|兵庫縣網干区興浜
Aboshiku-shinzaike (Hyōgo)	34.78296	134.59235	PPL	0	aboshikushinzaike|網干区新在家|hyōgo|hyogo|ひょうご|ひょうごけん|ヒョウゴ|ヒョウゴケン|兵库县|兵庫|兵庫県|兵庫縣|ひょうご網干区新在家|ひょうごけん網干区新在家|ヒョウゴ網干区新在家|ヒョウゴケン網干区新在家|兵库县網干区新在家|兵庫網干区新在家|兵庫県網干区新在家|兵庫縣網干区新在家
Abu (Okinawa)	26.54062	128.09156	PPL	0	abu|安部|okinawa|おきなわ|おきなわけん|オキナワ|オキナワケン|冲绳县|沖縄|沖縄県|沖繩縣|おきなわ安部|おきなわけん安部|オキナワ安部|オキナワケン安部|冲绳县安部|沖縄安部|沖縄県安部|沖繩縣安部
Abu (Tokushima-ken)	33.79139	134.63884	PPL	0	abu|阿部|tokushimaken|とくしまけん|徳島|徳島県|德岛县|德島縣|とくしまけん阿部|徳島阿部|徳島県阿部|德岛县阿部|德島縣阿部
Abu (Yamaguchi)	34.5	131.46667	PPL	3372	abu|阿武町|yamaguchi|やまぐち|やまぐちけん|ヤマグチ|ヤマグチケン|山口|山口县|山口県|山口縣|やまぐち阿武町|やまぐちけん阿武町|ヤマグチ阿武町|ヤマグチケン阿武町|山口阿武町|山口县阿武町|山口県阿武町|山口縣阿武町
Abu Chō (Yamaguchi)	34.53672	131.5538	ADM3	3712	abuchō|abucho|あぶちょう|アブチョウ|阿武町|yamaguchi|やまぐち|やまぐちけん|ヤマグチ|ヤマグチケン|山口|山口县|山口県|山口縣|やまぐちあぶちょう|やまぐちアブチョウ|やまぐち阿武町|やまぐちけんあぶちょう|やまぐちけんアブチョウ|やまぐちけん阿武町|ヤマグチあぶちょう|ヤマグチアブチョウ|ヤマグチ阿武町|ヤマグチケンあぶちょう|ヤマグチケンアブチョウ|ヤマグチケン阿武町|山口あぶちょう|山口アブチョウ|山口阿武町|山口县あぶちょう|山口县アブチョウ|山口县阿武町|山口県あぶちょう|山口県アブチョウ|山口県阿武町|山口縣あぶちょう|山口縣アブチョウ|山口縣阿武町
